"X3_ARQUIVO","X3_CAMPO","X3_TIPO","X3_TAMANHO","X3_DECIMAL","X3_TITULO","X3_DESCRIC","X3_CONTEXT","X3_VALID"
"ZZ1","ZZ1_FILIAL","C","2","0","Filial","Filial do Sistema","Real",""
"ZZ1","ZZ1_CODIGO","C","6","0","Codigo","Codigo","Real","!(INCLUI .AND. !Empty(POSICIONE(""ZZ1"",1,xFilial(""ZZ1"")+M->ZZ1_CODIGO,""ZZ1_CODIGO"")))"
"ZZ1","ZZ1_FORNEC","C","6","0","Cod. Fornece","Cod. Fornecedor","Real",""
"ZZ1","ZZ1_LOJAFO","C","2","0","Loja Fornece","Loja Fornecedor","Real","!Empty(POSICIONE(""SA2"",1,xFilial(""SA2"")+M->ZZ1_FORNEC+M->ZZ1_LOJAFO,""A2_COD""))"
"ZZ1","ZZ1_NOMEFO","C","40","0","Nome Fornece","Nome Fornecedor","Virtual",""
"ZZ1","ZZ1_CERTIF","C","256","0","Dados Certif","Dados Certificado","Real",""
"ZZ1","ZZ1_VALCER","D","8","0","Val. Certifi","Val. Certificado","Real","M->ZZ1_VALCER >= dDataBase"
"ZZ1","ZZ1_TOLERA","N","5","2","Tolerancia","Tolerancia (%)","Real","M->ZZ1_TOLERA >= 0 .AND. M->ZZ1_TOLERA <= 100"
"ZZ1","ZZ1_TOTOK","N","12","2","Qtd. Conform","Qtd. Conforme","Real",""
"ZZ1","ZZ1_TOTNOK","N","12","2","Qtd. Nao Con","Qtd. Nao Conforme","Real",""
"ZZ2","ZZ2_FILIAL","C","2","0","Filial","Filial do Sistema","Real",""
"ZZ2","ZZ2_CONFOR","C","6","0","Controle","Controle","Real","!Empty(POSICIONE(""ZZ1"",1,xFilial(""ZZ1"")+M->ZZ2_CONFOR,""ZZ1_CODIGO""))"
"ZZ2","ZZ2_FORNEC","C","6","0","Cod. Fornece","Cod. Fornecedor","Real",""
"ZZ2","ZZ2_LOJAFO","C","2","0","Loja Fornec","Loja Fornecedor","Real",""
"ZZ2","ZZ2_NOMEFO","C","40","0","Nome Fornece","Nome Fornecedor","Virtual",""
"ZZ2","ZZ2_DATA","D","8","0","Data Ocorr","Data Ocorrencia","Real","M->ZZ2_DATA <= dDataBase"
"ZZ2","ZZ2_HORA","C","5","0","Hora","Hora","Real",""
"ZZ2","ZZ2_CODPRO","C","15","0","Produto","Produto","Real","!Empty(POSICIONE(""SB1"",1,xFilial(""SB1"")+M->ZZ2_CODPRO,""B1_COD""))"
"ZZ2","ZZ2_QTDOK","N","12","0","Qtde Conf","Qtde Conforme","Real",""
"ZZ2","ZZ2_QTDNOK","N","12","0","Qtde NConf","Qtde Nao Conforme","Real",""
"ZZ2","ZZ2_VLRUNI","N","12","2","Vlr Unit","Valor Unitario","Real",""
"ZZ2","ZZ2_TOTOK","N","12","2","Total Conf","Total Conforme","Virtual",""
"ZZ2","ZZ2_TOTNOK","N","12","2","Total NConf","Total Nao Conforme","Virtual",""
